Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
650.0,-12.537410379162834,650.0,-4.688558500427792,650.0,-19.339236219295557
660.0,-12.538712438713567,660.0,-4.544660178363483,660.0,-19.391922458808708
670.0,-12.540031027734486,670.0,-4.401085743612254,670.0,-19.44457701749261
680.0,-12.541366226121795,680.0,-4.257836779263801,680.0,-19.497204636322348
690.0,-12.54271811292622,690.0,-4.114914110116093,690.0,-19.54981174824608
700.0,-12.544086759660058,700.0,-3.972317995475466,700.0,-19.60240515136358
710.0,-12.545472315009292,710.0,-3.830047468527141,710.0,-19.65516099232541
720.0,-12.546882442362868,720.0,-3.6879917189529987,720.0,-19.722909611829813
730.0,-12.548308211084883,730.0,-3.546197902479857,730.0,-19.78580930165595
740.0,-12.549747673228918,740.0,-3.4046338062623063,740.0,-19.844180289577686
750.0,-12.551200479456787,750.0,-3.2632828850788216,750.0,-19.899862612678465
760.0,-12.552665378193954,760.0,-3.1221426972211903,760.0,-19.95236265761316
770.0,-12.554141021292429,770.0,-2.981213973773614,770.0,-20.00137871298705
780.0,-12.555626438379111,780.0,-2.840499609034009,780.0,-20.046720193779745
790.0,-12.557121091284655,790.0,-2.7000038373801742,790.0,-20.08835361397163
800.0,-12.558624676002658,800.0,-2.5597315868066564,800.0,-20.12640912747403
810.0,-12.560136670060555,810.0,-2.419687916937163,810.0,-20.161118850299815
820.0,-12.561655699590062,820.0,-2.279877538674656,820.0,-20.19262873619465
830.0,-12.563180233902898,830.0,-2.1403049325315857,830.0,-20.22095754292568
840.0,-12.56470884383493,840.0,-2.000974295896527,840.0,-20.24608000430715
850.0,-12.56624014261315,850.0,-1.8618894959933123,850.0,-20.26797296883511
860.0,-12.567772798058655,860.0,-1.7230540539058317,860.0,-20.28663444835748
870.0,-12.569305571380458,870.0,-1.5844711572083274,870.0,-20.302098612351653
880.0,-12.57083739104067,880.0,-1.446143683491756,880.0,-20.314447554568307
890.0,-12.57236739067728,890.0,-1.308074093100052,890.0,-20.323827628846402
